0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
chr17_40303487,0.7,0.54,0.6,0.34,0.56,0.64,0.74,0.47,0.63,0.61,0.3,0.66,0.61,0.58,0.46,0.68,0.68,0.71,0.66,0.6,0.63,0.27,0.49,0.5,0.31,0.39,0.52,0.4,0.31,0.51,0.43
chr11_67657732,0.87,0.7,0.73,0.75,0.88,0.7,0.68,0.8,0.8,0.61,0.75,0.87,0.75,0.59,0.8,0.7,0.76,0.57,0.52,0.7,0.76,0.67,0.61,0.6,0.45,0.58,0.12,0.69,0.52,0.53,0.48
chr22_19726004,0.73,0.83,0.77,0.8,0.86,0.86,0.86,0.81,0.94,0.89,0.85,0.89,0.88,0.7,0.81,0.78,0.88,0.81,0.85,0.8,0.73,0.64,0.71,0.72,0.47,0.71,0.66,0.62,0.72,0.54,0.84
chr19_6455469,0.84,1.0,0.8442857142857142,0.83,0.9,1.0,1.0,0.91,0.76,0.95,0.9,0.91,0.9,0.85,0.8442857142857142,0.92,0.94,0.9,0.8442857142857142,0.9,0.83,0.81,0.7,0.68,0.67,0.73,0.82,0.73,0.75,0.93,0.58
chr1_159140946,0.81,0.76,0.76,0.87,0.75,0.84,0.83,0.8,0.92,0.78,0.87,0.79,0.82,0.74,0.84,0.63,0.92,0.68,0.76,0.66,0.78,0.62,0.68,0.61,0.61,0.68,0.69,0.63,0.65,0.65,0.53
chr1_24515635,0.6728571428571429,0.0,0.87,0.88,0.91,0.83,1.0,0.88,0.9,0.95,0.6,0.82,0.56,0.81,0.73,0.6728571428571429,0.6,0.93,0.6728571428571429,0.8,0.91,0.0,0.91,0.78,0.61,0.0,0.69,0.0,0.55,0.62,0.7
chr7_16399381,0.96,0.73,0.78,0.82,0.76,0.56,0.82,0.6762068965517243,0.38,0.82,0.73,0.84,0.82,0.73,0.64,0.63,0.8,0.6762068965517243,0.69,0.78,0.78,0.52,0.55,0.7,0.55,0.53,0.6,0.6,0.58,0.51,0.4
chr3_28327922,0.84,0.85,0.81,0.86,0.88,0.93,0.81,0.72,0.76,0.95,0.93,0.72,0.88,0.75,0.85,0.92,0.76,1.0,0.86,0.81,0.76,0.64,0.67,0.74,0.65,0.69,0.57,0.75,0.73,0.75,0.66
chr18_79457454,0.9,0.84,0.89,0.6,0.85,0.88,0.0,0.86,1.0,0.93,1.0,0.34,0.45,0.92,0.52,0.33,0.93,0.77,0.82,0.95,0.9,0.38,0.42,0.43,0.42,0.82,0.4,0.87,0.01,0.42,0.27
chr8_124907533,0.85,0.8,0.57,0.69,0.73,0.7,0.71,0.5,0.66,0.75,0.69,0.69,0.65,0.84,0.76,0.76,0.82,0.83,0.77,0.71,0.6,0.53,0.46,0.64,0.54,0.59,0.55,0.58,0.64,0.55,0.55
chr17_34252499,0.74,0.42,0.57,0.42,0.54,0.6,0.56,0.57,0.55,0.58,0.47,0.68,0.76,0.53,0.51,0.57,0.4,0.57,0.53,0.8,0.52,0.14,0.25,0.18,0.6,0.25,0.08,0.2,0.55,0.52,0.31
chr12_124722990,0.67,0.66,0.5,0.5,0.55,0.3,0.65,0.61,0.32,0.65,0.41,0.81,0.56,0.57,0.42,0.58,0.61,0.31,0.44,0.67,0.5,0.43,0.29,0.38,0.3,0.45,0.28,0.24,0.27,0.26,0.15
chr1_213605852,0.36,0.0,0.23,0.9,0.77,0.35,0.0,0.8,0.77,0.44,0.41,0.4,0.78,0.0,0.0,0.48,0.33,0.0,0.0,0.91,0.36,0.84,0.9,0.87,0.43,0.71,0.89,0.37,0.87,0.87,0.88
chr7_78040283,0.44,0.4,0.4,0.78,0.66,0.54,0.14,0.2,0.41,0.27,0.2,0.5,0.57,0.4,0.54,0.14,0.32137931034482764,0.32137931034482764,0.5,0.41,0.13,0.32,0.13,0.26,0.11,0.04,0.09,0.14,0.13,0.23,0.24
chr7_135282889,1.0,0.78,0.85,0.82,1.0,0.91,0.78,1.0,0.8,0.8,0.9,0.83,0.82,0.86,0.92,0.84,0.91,0.88,0.86,0.93,0.78,0.75,0.74,0.75,0.7,0.64,0.75,0.74,0.82,0.7,0.72
chr5_72574917,0.68,0.5,0.74,0.59,0.62,0.66,0.45,0.58,0.53,0.48,0.59,0.69,0.61,0.52,0.72,0.5,0.68,0.33,0.48,0.75,0.52,0.39,0.44,0.24,0.41,0.47,0.45,0.45,0.48,0.39,0.34
chr19_10336120,0.64,0.51,0.7,0.58,0.79,0.56,0.65,0.73,0.64,0.51,0.62,0.6,0.6,0.77,0.41,0.58,0.5,0.55,0.64,0.7,0.71,0.34,0.47,0.44,0.46,0.52,0.38,0.52,0.47,0.44,0.39
chr1_1330124,0.0,0.42,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.02,0.44,0.86,0.53,0.0,0.46,0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.37,0.45,0.42,0.34,0.39,0.37,0.43,0.39,0.47
chr21_44574712,0.73,0.45,0.64,0.84,0.85,0.7,0.53,0.73,0.66,0.68,0.76,0.7,0.93,0.69,0.65,0.69,0.65,0.8,0.78,0.72,0.68,0.48,0.56,0.4,0.5,0.21,0.62,0.58,0.55,0.78,0.61
chr1_45260548,0.9,0.75,0.95,0.78,0.93,0.88,0.9,0.93,0.85,0.9,0.88,0.91,1.0,0.91,0.7,0.96,0.84,0.8,0.71,0.96,0.85,0.43,0.78,0.76,0.69,0.7,0.75,0.78,0.78,0.72,0.57
chr2_145769097,0.8218518518518517,0.91,0.93,0.86,0.8218518518518517,0.78,0.9,0.87,0.84,1.0,0.95,0.84,0.94,0.92,0.81,0.84,0.8218518518518517,0.8218518518518517,0.86,0.91,0.78,0.8,0.71,0.72,0.75,0.81,0.79,0.78,0.66,0.5,0.73
chr2_133765992,0.96,0.94,0.79,0.83,0.75,0.94,0.9,0.71,0.84,0.77,0.91,0.86,0.93,0.84,0.81,0.93,0.77,0.82,0.84,0.87,0.97,0.66,0.65,0.62,0.56,0.82,0.72,0.73,0.76,0.66,0.54
chr1_27957383,1.0,0.87,0.87,0.89,1.0,0.9,0.92,0.95,0.84,0.86,0.85,1.0,1.0,0.95,0.92,1.0,0.84,0.8780000000000001,1.0,0.93,0.89,0.8,0.81,0.88,0.82,0.78,0.75,0.8,0.8,0.78,0.64
chr16_22166934,0.83,0.47,0.76,0.46,0.52,0.86,0.87,0.46,0.4,0.94,0.9,0.5,0.88,0.91,0.57,1.0,0.82,0.77,0.4,1.0,0.42,0.46,0.48,0.0,0.0,0.46,0.47,0.41,0.91,0.0,0.45
chr17_62705231,0.58,0.44,0.41,0.31,0.62,0.54,0.62,0.65,0.45,0.77,0.66,0.71,0.55,0.61,0.55,0.77,0.57,0.43,0.85,0.56,0.57,0.39,0.41,0.4,0.41,0.4,0.45,0.46,0.3,0.27,0.33
chr7_33034764,0.71,0.55,0.6,0.64,0.78,0.52,0.61,0.73,0.83,0.41,0.66,0.56,0.9,0.76,0.66,0.93,0.6213333333333334,0.63,0.78,0.76,0.57,0.51,0.54,0.46,0.47,0.53,0.51,0.52,0.56,0.5,0.45
chr1_94463928,0.5210714285714285,0.74,0.56,0.68,0.73,0.57,0.47,0.79,0.5210714285714285,0.72,0.57,0.66,0.88,0.42,0.65,0.77,0.5210714285714285,0.84,0.83,0.45,0.41,0.0,0.64,0.59,0.0,0.66,0.0,0.82,0.04,0.0,0.1
chr4_1235968,0.8,0.88,0.76,0.83,0.92,0.9,0.84,0.82,0.9,0.76,0.89,0.86,0.93,0.79,0.93,0.93,0.77,0.88,0.83,0.89,0.86,0.68,0.73,0.82,0.65,0.64,0.71,0.75,0.74,0.74,0.72
chr15_78740926,0.0,0.8,0.36,0.93,0.58,0.44,0.9,0.88,0.45,0.83,0.88,0.92,0.46,0.95,0.46,0.55,0.55,0.82,1.0,0.35,0.34,0.31,0.05,0.36,0.05,0.75,0.36,0.0,0.93,0.01,0.05
chr5_161684181,0.94,0.73,0.7,0.93,0.9,0.91,0.81,0.91,1.0,0.84,0.8253571428571428,0.9,0.9,0.86,0.8253571428571428,1.0,0.8,0.8253571428571428,0.81,1.0,0.9,0.63,0.75,0.75,0.58,0.72,0.79,0.8,0.72,0.76,0.77
chr9_84517282,0.86,0.9,0.86,0.83,0.96,0.92,0.82,0.89,0.9,0.84,0.87,0.94,0.92,0.92,0.85,0.85,0.84,0.76,0.94,0.92,0.82,0.69,0.77,0.78,0.78,0.73,0.8,0.78,0.77,0.74,0.75
chr16_24845453,0.86,0.89,0.86,0.86,0.93,0.26,0.82,0.39,0.56,0.84,0.83,0.8,0.86,0.95,0.79,0.91,0.87,0.44,0.31,0.91,0.84,0.38,0.36,0.78,0.89,0.44,0.45,0.41,0.52,0.0,0.44
chr22_17189544,0.8,0.83,0.82,0.82,0.92,0.95,0.85,0.85,0.86,0.86,0.85,0.96,0.85,0.84,0.87,0.85,0.87,0.72,0.95,0.93,0.77,0.73,0.72,0.76,0.74,0.7,0.76,0.77,0.77,0.68,0.61
chr10_131669114,0.0,0.37,0.03,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.23,0.0,0.0,0.0,0.0,0.36,0.45,0.0,0.0,0.0,0.0,0.41,0.39,0.4,0.46,0.53,0.0,0.87,0.0,0.45,0.37
chr16_85932352,0.9,0.81,0.94,0.95,0.93,0.92,1.0,0.95,0.95,0.94,0.83,0.7,0.4,0.79,0.89,1.0,0.85,0.7737931034482759,0.8,0.9,0.7737931034482759,0.81,0.5,0.87,0.8,0.85,0.46,0.0,0.71,0.47,0.52
chr14_29736340,0.64,0.72,0.66,0.71,0.75,0.68,0.83,0.78,0.7,0.6,0.92,0.72,0.95,0.9,0.8,0.86,0.85,0.56,0.68,0.84,0.75,0.47,0.56,0.65,0.54,0.64,0.56,0.56,0.46,0.68,0.35
chr13_21338547,0.65,0.62,0.6,0.69,0.6,0.68,0.53,0.66,0.75,0.58,0.7,0.77,0.72,0.67,0.68,0.62,0.6,0.52,0.57,0.81,0.57,0.48,0.42,0.51,0.55,0.5,0.42,0.62,0.46,0.42,0.27
chr1_44248310,0.86,0.77,0.74,0.77,0.85,0.8,0.95,0.93,0.8,0.95,0.85,0.93,0.86,0.82,0.95,0.88,0.88,0.81,0.76,0.92,0.81,0.62,0.61,0.58,0.72,0.57,0.64,0.68,0.87,0.87,0.52
chr8_144506616,0.9,0.81,0.81,0.71,1.0,0.82,0.85,0.9,0.75,0.7355172413793102,0.83,0.72,0.81,0.71,0.78,0.72,0.7355172413793102,0.52,0.76,0.75,0.86,0.62,0.69,0.64,0.63,0.62,0.72,0.58,0.58,0.66,0.58
chr2_1818662,0.88,0.36,0.73,0.75,0.86,0.9,0.74,0.76,0.66,0.81,0.73,0.85,0.8,0.37,0.29,0.89,0.88,0.85,0.37,0.89,0.77,0.37,0.4,0.36,0.0,0.89,0.43,0.45,0.02,0.0,0.78
chr4_139511417,0.88,0.79,0.79,0.82,0.94,0.88,0.9,0.87,0.8,0.79,0.81,0.9,0.94,0.78,0.83,0.9,0.79,0.88,0.7,0.94,0.81,0.74,0.7,0.6,0.73,0.79,0.65,0.68,0.65,0.64,0.69
chr12_10090214,0.78,0.78,0.72,0.61,0.79,0.82,0.83,0.9,0.38,0.73,1.0,0.64,0.88,0.85,0.3,0.75,0.84,0.36,0.89,0.0,0.87,0.58,0.0,0.4,0.77,0.55,0.48,0.41,0.31,0.52,0.57
chr10_86228484,0.86,0.58,0.54,0.51,0.95,0.91,0.9,0.84,0.0,0.93,0.46,0.42,0.94,0.36,0.0,0.88,0.85,0.82,1.0,0.9,0.55,0.43,0.0,0.47,0.49,0.0,0.83,0.41,0.49,0.44,0.38
chr5_72223648,0.82,0.78,0.64,0.73,0.66,0.95,0.73,0.89,0.85,0.77,0.61,0.92,0.95,0.85,0.85,0.72,0.7358620689655171,0.7358620689655171,0.77,1.0,0.86,0.62,0.56,0.56,0.77,0.59,0.55,0.67,0.5,0.63,0.54
chr1_41097892,0.81,0.83,0.8014285714285714,0.75,1.0,0.8014285714285714,0.82,1.0,0.95,0.81,0.8014285714285714,0.95,0.94,0.94,0.92,0.96,0.66,0.71,0.84,0.92,0.72,0.7,0.75,0.63,0.66,0.8,0.72,0.8,0.61,0.63,0.61
chr20_24444381,0.69,0.0,0.3088888888888889,0.4,0.3088888888888889,1.0,0.58,0.31,0.2,0.0,0.75,0.0,0.71,0.0,0.63,0.57,0.3088888888888889,0.84,0.0,0.54,0.3088888888888889,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.51,0.36
chr19_36091075,0.82,0.52,0.88,0.35,0.43,1.0,0.86,0.58,0.0,0.6,0.59,0.02,0.66,0.51,0.8,0.52,0.83,0.0,0.47,0.21,0.78,0.47,0.35,0.49,0.0,0.0,0.42,0.34,0.37,0.0,0.36
chr11_134358109,0.78,0.93,0.87,0.75,0.81,0.82,0.79,0.86,0.89,0.75,0.91,0.95,0.93,0.76,0.87,0.92,0.7,0.9,0.92,0.86,0.78,0.65,0.71,0.67,0.69,0.68,0.69,0.71,0.75,0.75,0.65
chr17_9955896,0.84,0.5623333333333334,0.62,0.95,0.72,0.79,0.71,0.67,0.62,0.0,0.5,0.64,0.6,0.59,0.51,0.88,0.55,0.66,0.9,0.91,0.57,0.0,0.64,0.45,0.0,0.82,0.0,0.44,0.0,0.83,0.46
chr13_110712412,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.06,0.0,0.14,0.23,0.21,0.2,0.09,0.18
chr11_62602145,0.1,0.1,0.0,0.12,0.24,0.08,0.09,0.14,0.23,0.15,0.08,0.14,0.04,0.15,0.15,0.05,0.1,0.15,0.1,0.1,0.09,0.19,0.24,0.32,0.25,0.21,0.3,0.21,0.31,0.25,0.18
chr12_66372015,0.87,0.83,0.75,0.73,0.86,0.85,0.84,0.81,0.75,0.88,1.0,0.78,0.9,0.85,0.86,1.0,0.91,0.83,0.86,0.91,0.76,0.6,0.66,0.62,0.76,0.67,0.66,0.8,0.66,0.71,0.54
chr19_12450937,0.43,0.91,0.38,0.9,0.55,0.0,0.66,0.57,0.9,0.88,0.0,0.96,0.75,0.41,1.0,0.71,0.46928571428571436,0.46928571428571436,0.46928571428571436,0.0,0.43,0.55,0.47,0.45,0.0,0.42,0.47,0.0,0.0,0.0,0.34
chr1_24415388,0.02,0.08,0.08,0.03,0.09,0.17,0.09,0.12,0.04,0.06,0.1,0.13,0.09,0.1,0.08,0.12,0.05,0.04,0.21,0.21,0.17,0.32,0.3,0.23,0.14,0.35,0.22,0.2,0.25,0.31,0.37
chr5_133429265,0.0,0.35,0.8,0.0,0.46,0.66,0.81,0.71,0.28,0.31,0.76,0.23,0.21,0.46,0.33,0.92,0.6120689655172415,0.6120689655172415,0.8,0.71,0.8,0.72,0.8,0.86,0.92,0.85,0.85,0.81,0.75,0.77,0.82
chr7_24918950,0.44,0.44,0.73,0.43,0.0,0.36,0.61,0.96,0.0,0.56,0.35,0.59,0.86,0.68,0.48,0.88,0.35,0.47,0.47,0.89,0.73,0.0,0.93,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.45
chr11_33927124,0.67,0.65,0.65,0.71,0.84,0.85,0.82,0.87,0.68,0.8,0.8,0.85,0.69,0.88,0.78,0.92,0.71,0.75,0.7,0.87,0.7,0.64,0.75,0.56,0.53,0.62,0.51,0.64,0.66,0.47,0.54
chr5_169304855,0.52,0.0,0.72,0.44,0.45,0.65,0.27,0.68,0.32,0.36,0.45,0.33,0.5,0.27,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.71,0.72,0.77,0.71,0.8,0.28,0.75,0.38,0.69,0.32
chr2_169427355,0.88,0.92,0.9,0.9,0.89,0.87,0.9,0.85,0.84,0.91,0.86,0.92,0.97,0.9,0.86,0.97,0.76,0.87,0.97,0.85,0.9,0.73,0.75,0.78,0.74,0.82,0.83,0.8,0.83,0.79,0.68
chr2_10571855,0.83,0.9,0.77,0.91,0.94,0.97,0.94,0.9,0.95,0.93,0.96,0.97,0.9,1.0,0.96,0.92,0.51,0.88,0.97,0.64,0.85,0.79,0.0,0.88,0.87,0.85,0.52,0.89,0.55,0.44,0.84
chr3_23550531,0.83,0.9,0.9,0.89,0.89,0.9,0.9,0.96,1.0,0.9,0.81,0.96,0.91,0.92,0.92,0.92,1.0,0.81,0.93,0.97,0.8,0.77,0.81,0.79,0.67,0.74,0.78,0.82,0.82,0.71,0.67
chr2_237582073,0.8,0.75,0.8,0.65,0.7,0.82,0.77,0.58,0.65,0.72,0.8,0.94,0.83,0.82,0.9,0.68,0.72,0.64,0.88,0.8,0.7,0.56,0.6,0.6,0.6,0.53,0.59,0.61,0.74,0.6,0.63
chr4_6295490,0.5,0.56,0.66,0.85,0.81,0.63,0.76,0.64,1.0,0.69,0.57,0.75,0.91,0.84,0.84,0.76,0.6575862068965519,0.6575862068965519,0.72,0.8,0.57,0.53,0.62,0.78,0.48,0.53,0.42,0.55,0.43,0.42,0.45
chr11_130408525,0.77,0.82,0.7,0.83,0.65,0.85,0.69,0.9,0.71,0.83,0.64,0.95,0.78,0.66,0.73,0.6,0.81,0.7,0.89,0.83,0.76,0.57,0.6,0.6,0.55,0.56,0.67,0.57,0.63,0.68,0.56
chr2_27356638,0.07,0.05,0.06,0.08,0.06,0.13,0.05,0.12,0.04,0.09,0.04,0.04,0.12,0.08,0.02,0.06,0.07,0.09,0.06,0.07,0.08,0.17,0.21,0.15,0.17,0.19,0.21,0.15,0.14,0.14,0.15
chr19_12784222,0.78,0.91,0.78,0.85,0.87,0.66,0.85,0.86,0.83,0.86,0.76,0.68,0.86,0.68,0.86,0.8,0.8,0.68,0.93,0.88,0.84,0.37,0.66,0.6,0.61,0.64,0.73,0.75,0.72,0.71,0.64
chr2_218629313,0.5,0.72,0.32,0.43,0.4,0.01,0.02,0.0,0.44,0.45,0.42,0.41,0.0,0.0,0.0,0.42,0.46,0.33,0.5,0.61,0.47,0.0,0.89,0.84,0.57,0.9,0.96,0.46,0.88,0.89,0.4
chr22_39959993,0.62,0.71,0.57,0.52,0.61,0.61,0.68,0.53,0.61,0.6,0.71,0.68,0.57,0.66,0.56,0.61,0.68,0.64,0.59,0.73,0.73,0.55,0.47,0.39,0.39,0.55,0.55,0.51,0.55,0.49,0.55
chr7_26244171,0.78,0.66,0.59,0.71,0.72,0.8,0.73,0.85,0.78,0.78,0.85,0.84,0.75,0.82,0.7,0.72,0.65,0.93,0.61,0.75,0.67,0.58,0.67,0.61,0.54,0.61,0.54,0.5,0.64,0.6,0.42
chr22_30933068,0.91,0.75,0.85,0.89,0.7,0.76,0.95,0.73,0.96,1.0,0.78,0.0,0.94,0.97,0.73,0.698965517241379,0.71,0.72,0.698965517241379,0.95,0.57,0.61,0.64,0.0,0.45,0.9,0.63,0.88,0.61,0.68,0.0
chr11_60800060,0.67,0.82,0.8,0.81,0.66,0.76,0.82,0.8,0.68,0.68,0.6575,0.68,0.78,0.87,0.56,0.86,0.6575,0.6575,0.64,0.88,0.9,0.6,0.82,0.59,0.65,0.0,0.66,0.0,0.64,0.78,0.0
chr20_1803768,0.04,0.04,0.0,0.05,0.15,0.04,0.05,0.06,0.11,0.18,0.1,0.06,0.09,0.02,0.02,0.12,0.0,0.0,0.03,0.07,0.0,0.27,0.19,0.19,0.15,0.12,0.23,0.2,0.25,0.2,0.25
chr10_123102067,0.63,0.3,0.35,0.47,0.38,0.34,0.55,0.45,0.44,0.21,0.54,0.56,0.45,0.36,0.64,0.38,0.45,0.41,0.62,0.64,0.5,0.24,0.29,0.22,0.24,0.37,0.21,0.26,0.34,0.22,0.31
chr2_212035675,0.78,0.72,0.8,0.76,0.81,0.74,0.71,0.74,0.7,0.77,0.65,0.89,0.75,0.75,0.78,0.82,0.75,0.73,0.76,0.75,0.76,0.6,0.56,0.59,0.52,0.55,0.63,0.58,0.68,0.72,0.63
chr19_5016388,0.76,0.6960714285714283,0.36,0.88,0.93,0.93,0.85,0.94,0.91,0.6,0.6960714285714283,0.64,0.87,0.76,0.73,0.94,0.91,0.78,0.66,0.94,0.6960714285714283,0.7,0.0,0.78,0.53,0.53,0.54,0.0,0.86,0.58,0.58
chr5_160199120,0.61,0.68,0.47,0.63,0.72,0.55,0.65,0.52,0.56,0.57,0.36,0.62,0.53,0.61,0.67,0.69,0.5,0.57,0.46,0.82,0.43,0.34,0.47,0.46,0.34,0.47,0.48,0.37,0.39,0.38,0.46
chr6_13172914,0.92,0.33,0.38,0.96,1.0,0.92,0.94,1.0,0.93,1.0,1.0,0.65,0.88,0.55,1.0,0.86,0.46,0.6623333333333334,0.89,0.64,0.5,0.53,0.0,0.0,0.44,0.55,0.89,0.51,0.33,0.81,0.0
chr1_11450943,0.75,0.7,0.82,0.82,0.89,0.7,0.84,0.69,0.81,0.94,0.76,0.76,0.68,0.51,0.7,0.8,0.57,0.66,0.81,0.88,0.65,0.51,0.7,0.64,0.4,0.21,0.71,0.57,0.25,0.48,0.62
chr16_79580563,0.4,0.82,0.23,0.36,0.46,0.39,0.37,0.37,0.0,0.0,0.34,0.54,0.0,0.82,0.35,0.37,0.46,0.0,0.0,0.41,0.41,0.87,0.88,0.43,0.4,0.84,0.85,0.88,0.46,0.89,0.36
chr11_5244036,0.79,0.51,0.76,0.6,0.54,0.76,0.54,0.58,0.67,0.85,0.61,0.75,0.62,0.51,0.71,0.53,0.53,0.5,0.52,0.71,0.72,0.46,0.47,0.49,0.61,0.53,0.36,0.36,0.48,0.45,0.37
chr5_135544884,0.06,0.1,0.06,0.04,0.07,0.06,0.08,0.03,0.03,0.03,0.04,0.06,0.03,0.0,0.08,0.07,0.03,0.03,0.12,0.0,0.03,0.2,0.15,0.14,0.11,0.29,0.14,0.13,0.12,0.13,0.21
chr3_15257042,0.84,0.77,0.8,0.87,0.84,0.92,0.86,0.85,0.88,0.84,0.91,0.84,0.92,0.88,0.88,0.82,0.75,0.8,0.9,0.88,0.9,0.72,0.75,0.79,0.74,0.73,0.77,0.66,0.69,0.69,0.73
chr7_103729359,0.77,0.8,0.76,0.8,0.8,0.79,0.79,0.87,0.84,0.71,0.83,0.91,0.86,0.88,0.78,0.86,0.88,0.69,0.82,1.0,0.9,0.68,0.69,0.74,0.75,0.62,0.73,0.73,0.73,0.68,0.63
chr8_94896370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.12,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.05,0.0,0.23,0.18,0.14,0.15,0.11,0.23,0.22,0.05,0.17,0.2
chr21_43612205,0.73,0.77,0.7,0.76,0.59,0.69,0.71,0.68,0.88,0.87,0.7,0.78,0.68,0.76,0.68,0.66,0.7,0.73,0.57,0.6,0.86,0.33,0.52,0.53,0.49,0.39,0.69,0.73,0.36,0.57,0.53
chr20_46615365,0.85,0.75,0.88,0.84,0.83,0.72,0.88,0.84,0.81,0.84,0.79,0.77,0.86,0.85,0.76,0.92,0.71,0.76,0.82,0.82,0.85,0.65,0.74,0.65,0.62,0.7,0.69,0.7,0.73,0.69,0.72
chr19_56541511,0.84,0.55,0.47,0.6,0.5,0.63,0.6,0.53,0.57,0.6,0.68,0.83,0.86,0.63,0.82,0.72,0.58,0.71,0.65,0.83,0.7,0.45,0.51,0.56,0.5,0.52,0.52,0.56,0.44,0.47,0.44
chr1_94396548,0.5511111111111111,0.61,0.26,0.6,0.66,0.6,0.75,0.81,0.69,0.57,0.5,0.52,0.61,0.66,0.77,0.58,0.5511111111111111,0.58,0.5511111111111111,0.86,0.5511111111111111,0.6,0.4,0.37,0.35,0.43,0.34,0.53,0.39,0.51,0.33
chr13_24638278,0.82,0.8,0.77,0.65,0.86,0.84,0.87,0.85,0.84,0.53,0.6,0.82,0.91,0.88,0.75,0.83,0.8,0.83,0.76,0.83,0.77,0.66,0.66,0.67,0.66,0.67,0.62,0.62,0.43,0.73,0.74
chr17_72654752,0.93,0.88,0.5,0.78,0.41,0.9,0.95,0.87,0.88,0.9,0.97,0.54,0.88,0.91,0.87,0.91,1.0,0.94,0.84,0.9,0.9,0.36,0.91,0.38,0.4,0.46,0.36,0.83,0.48,0.9,0.46
chr6_47684880,0.83,0.0,0.41,0.0,0.0,0.61,0.7,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.42714285714285705,0.42714285714285705,0.42714285714285705,0.66,0.95,0.8,0.54,0.62,0.63,0.6,0.7,0.84,0.84,0.53,0.53,0.76
chr2_85326063,0.94,0.73,0.58,0.78,0.8,0.81,0.88,0.69,0.7,0.89,0.84,0.89,0.76,0.86,0.66,0.76,0.75,0.75,0.42,0.86,0.66,0.48,0.63,0.59,0.65,0.67,0.53,0.67,0.49,0.64,0.63
chr13_114115784,0.71,0.93,0.73,0.86,0.74,0.69,0.86,0.8,0.91,0.82,0.92,0.89,0.87,0.77,0.06,0.9,0.75,0.83,0.75,0.91,0.83,0.82,0.83,0.48,0.67,0.38,0.42,0.36,0.35,0.47,0.7
chr11_3380759,0.95,0.85,0.83,0.92,0.94,0.85,0.79,0.93,0.92,0.89,0.76,0.86,0.91,0.82,0.91,0.93,0.9,0.95,0.82,0.88,0.83,0.73,0.75,0.7,0.78,0.7,0.81,0.79,0.76,0.69,0.8
chr2_209209442,0.69,0.88,0.16,0.73,0.91,0.69,0.84,0.89,0.73,0.6,0.52,0.41,0.6,0.9,0.37,0.48,0.75,0.56,0.94,0.93,0.65,0.0,0.73,0.51,0.51,0.02,0.88,0.25,0.5,0.02,0.02
chr16_87292122,0.0,0.48,0.55,0.35,0.42,0.0,0.0,0.34,0.0,0.4,0.94,0.34,0.93,0.43,0.97,0.33,0.52,0.84,0.58,0.51,0.76,0.47,0.93,0.9,0.88,0.87,0.44,0.9,0.85,0.82,0.89
chr8_17957053,0.82,0.8,0.86,0.83,0.9,0.86,0.83,0.93,0.77,0.89,0.95,0.89,0.97,1.0,0.86,0.91,1.0,0.8,0.85,0.88,0.88,0.71,0.7,0.78,0.68,0.75,0.82,0.75,0.76,0.77,0.58
chr6_16149126,0.94,0.96,0.82,0.88,0.94,0.81,0.88,0.88,0.89,0.84,0.94,0.84,1.0,1.0,0.93,1.0,0.81,1.0,1.0,0.95,0.83,0.7,0.76,0.7,0.79,0.76,0.71,0.84,0.83,0.74,0.54
chr10_78448962,0.74,0.76,0.79,0.92,0.75,0.7,0.71,0.8,0.84,0.93,0.81,0.85,0.84,0.89,0.85,0.8,0.77,0.84,0.77,0.84,0.76,0.63,0.71,0.69,0.52,0.6,0.51,0.8,0.72,0.62,0.55
chr5_150052503,0.0,0.0,0.43,0.0,0.0,0.6,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.31,0.0,0.0,0.6,0.03,0.51,0.44,0.0,0.58,0.61,0.93,0.0,0.79
chr12_6926497,0.65,0.46,0.64,0.63,0.47,0.63,0.43,0.58,0.52,0.5516666666666666,0.64,0.56,0.75,0.75,0.58,0.58,0.41,0.87,0.72,0.73,0.68,0.29,0.52,0.54,0.4,0.46,0.45,0.33,0.55,0.28,0.45
chr9_66267901,0.54,0.58,0.73,0.43,0.75,0.55,0.63,0.36,0.57,0.57,0.25,0.39,0.4,0.35,0.41,0.42999999999999994,0.47,0.4,0.5,0.6,0.44,0.27,0.26,0.38,0.16,0.2,0.35,0.41,0.34,0.29,0.32
